[2026-08-13T08:44:06.960Z] GET http://localhost:3000/ → 307 (15ms, ?B)
[2026-08-13T08:44:06.976Z] GET https://first-husky-42.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2F&__clerk_api_version=2026-05-12&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → pending (?ms, ?B)
[2026-08-13T08:44:07.875Z] GET http://localhost:3000/?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zSGN5dmhIanZaSkFTUUZxM05YRE4xeDJXVnoiLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0hxenpHaUdMem5CNXg5UnliR2kzbUwxdWFrOyBQYXRoPS87IEV4cGlyZXM9RnJpLCAxMyBBdWcgMjAyNyAwODo0NDowNyBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.nL3zzdSiQvXofa7Z_UgPopw0GSUw4yBc4XTuLf8o_wl9mnA-qhSqOGv0LOa1sBzw8wBHmbV826PoslRh8mFAYdwTm6sBLtD4WgTSCLeo6Wgi9EbvU9LHMq9sspa4nybi-NOGbv86AaK71nNS3IrFTtb0rwMcI7XMSLIz-3wNr7HW9t2z8yKuSxOY_2w2PSZzTOYHoeZR1TVlH9Qc68R9Ig7j8grH-C-rzpXYw290IYBWQ45MUsSlj38xj17zAuMRHMWLsQqlBY43OhCLBRVz7e0PidsttuserdXRFOR79TOeCEPbDvaZ2PipRFGOzp9zd_OrNkMVambxLY8S_KwFzA → pending (?ms, ?B)
[2026-08-13T08:44:08.596Z] GET http://localhost:3000/ → 307 (9ms, ?B)
[2026-08-13T08:44:08.605Z] GET https://first-husky-42.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2F&__clerk_api_version=2026-05-12&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → 307 (394ms, ?B)
[2026-08-13T08:44:08.999Z] GET http://localhost:3000/?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zSGN5dmhIanZaSkFTUUZxM05YRE4xeDJXVnoiLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0hxenpPdW9NZ1pGcGdJRGZtV25NYjM0cUM3OyBQYXRoPS87IEV4cGlyZXM9RnJpLCAxMyBBdWcgMjAyNyAwODo0NDowOCBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.d4zfC-ui-OGeBQGBPVPS3GYQ4xdNYcVBcnDhr-Cy8YA_SSkbL2PCU2aHL7_Doht6sgKZkx93culiNPhzA3FVCIZCsSA3ZIZgQKMbA5NfvNx_UYZR06iqf_HgESqbKhvtWVUhxcPaZOuLENZryqkbXSn_Sq2I4lBO7GHvYHtpE4P1ZINlFRW0c6rgJrFOHgMIdFLphMcnecMNKbhsjRhsVuOygKBvTPen9oOR8Hs7_ndMw65rkSIyJnFTtTj0GvfGPwSedFhMYOblQ7iOE-hAIFGdU3l65KQyLuEOt3IHbqaws2WHgjw_sp2ugbNTH1jGTjmxhJe-Dfp5FUI3Gt7Jzw → 307 (10ms, ?B)
[2026-08-13T08:44:09.009Z] GET http://localhost:3000/ → 307 (7ms, ?B)
[2026-08-13T08:44:09.016Z] GET https://first-husky-42.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2F&__clerk_api_version=2026-05-12&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → pending (?ms, ?B)
[2026-08-13T08:44:09.408Z] GET http://localhost:3000/?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zSGN5dmhIanZaSkFTUUZxM05YRE4xeDJXVnoiLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0hxenpZZTZYclRNNDU0TFMxV3ZtMGJnMGhTOyBQYXRoPS87IEV4cGlyZXM9RnJpLCAxMyBBdWcgMjAyNyAwODo0NDowOSBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.b2LvxypVj1Uut7NDt3repShm72VGPJabBnB3pnXwh6ozEVBhPEDTFKWi4TAR4yQkFiB7aNs70_Mb9KDlFEka-iRyWTCJiy5zvNyGbmGjzAXkl8P2UVio8k5YrmDZfgI6-eAbIVE6y7pYdqbF4MYRgq_YL5C1qohlS9PFX7t3KbAElraGf8IbQAChrbnFAH15O6DatENeytcP0dWymyhix0Aneb4HusTPVjcqKP45QsmnadgDRHNYdgDxgzEWA6njCICo5lM5aWXy6lAa_3QwnuwMy0dldQJiVgHgwqssXL_231E-dblwfVBg-XjqpZWxveTeVk4uT6wV1UQiyEsgBg → 307 (7ms, ?B)
[2026-08-13T08:44:09.415Z] GET http://localhost:3000/ → 200 (61ms, 9058B)
[2026-08-13T08:44:09.479Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (10ms, 23108B)
